"language","type"
"Abaza","large (>7)"
"Adyghe","average"
"Kabardian","large (>7)"
"Abkhaz","large (>7)"
"Ubykh","large (>7)"
"Laz","small (<4)"
"Mingrelian","small (<4)"
"Svan","average"
"Georgian","small (<4)"
"Bats","average"
"Chechen","average"
"Ingush","small (<4)"
"Lak","large (>7)"
"Khinalugh","average"
"Dargwa","average"
"Kajtak","large (>7)"
"Avar","average"
"Akhvakh","average"
"Karata","average"
"Chamalal","average"
"Godoberi","average"
"Bagvalal","average"
"Andi","average"
"Khwarshi","large (>7)"
"Bezhta","average"
"Hunzib","average"
"Hinuq","large (>7)"
"Tsez","average"
"Tindi","average"
"Botlikh","average"
"Rutul","large (>7)"
"Aghul","average"
"Archi","large (>7)"
"Budukh","average"
"Kryz","large (>7)"
"Lezgian","large (>7)"
"Tabasaran","average"
"Tsakhur","large (>7)"
"Udi","small (<4)"
